Id	HS_gene_id	Gene	Description	HS	GG	NL	PT	HS_aa	PT_aa	GG_aa	NL_aa	overlap	AbsId	Subs	HS_Subs	PT_Subs	GG_Subs	NL_Subs	#1#_Subs	%AbsId	%Subs	%HS_Subs	%PT_Subs	%GG_Subs	%NL_Subs	%#1#_Subs	%NoId
ENST00000233838	ENSG00000115486	GGCX	gamma-glutamyl carboxylase 	ENST00000233838	ENSGGOT00000004965	ENSNLET00000002509	ENSPTRT00000022556	758	758	758	665	633	610	23	5	1	2	14	0	96.3665086887836	3.63349131121643	0.789889415481833	0.157977883096367	0.315955766192733	2.21169036334913	0	0
ENST00000233840	ENSG00000115488	NEU2	neuraminidase 2 	ENST00000233840	ENSGGOT00000005520	ENSNLET00000018403	ENSPTRT00000024188	380	380	380	380	380	358	22	2	5	0	14	0	94.2105263157895	5.78947368421052	0.526315789473684	1.31578947368421	0	3.68421052631579	0	0
ENST00000233948	ENSG00000115596	WNT6	Wnt family member 6 	ENST00000233948	ENSGGOT00000003276	ENSNLET00000011487	ENSPTRT00000098519	365	365	365	365	365	362	3	1	0	1	1	0	99.1780821917808	0.821917808219183	0.273972602739726	0	0.273972602739726	0.273972602739726	0	0
ENST00000234111	ENSG00000115758	ODC1	ornithine decarboxylase 1 	ENST00000234111	ENSGGOT00000008028	ENSNLET00000017648	ENSPTRT00000021713	461	461	461	461	461	459	2	1	1	0	0	0	99.5661605206074	0.433839479392631	0.216919739696312	0.216919739696312	0	0	0	0
ENST00000234160	ENSG00000115806	GORASP2	golgi reassembly stacking protein 2 	ENST00000234160	ENSGGOT00000029227	ENSNLET00000056925	ENSPTRT00000023400	452	452	452	447	447	440	7	1	1	1	3	1	98.4340044742729	1.56599552572708	0.223713646532438	0.223713646532438	0.223713646532438	0.671140939597315	0.223713646532438	0
ENST00000234170	ENSG00000115816	CEBPZ	CCAAT enhancer binding protein zeta 	ENST00000234170	ENSGGOT00000011393	ENSNLET00000020695	ENSPTRT00000022032	1054	1054	1054	1051	1051	1020	31	3	7	4	15	1	97.0504281636537	2.94957183634634	0.285442435775452	0.666032350142721	0.380589914367269	1.42721217887726	0.095147478591817	0
ENST00000234179	ENSG00000115825	PRKD3	protein kinase D3 	ENST00000234179	ENSGGOT00000016973	ENSNLET00000020732	ENSPTRT00000022036	890	890	890	890	890	887	3	0	0	0	3	0	99.6629213483146	0.337078651685388	0	0	0	0.337078651685393	0	0
ENST00000234195	ENSG00000115841	RMDN2	regulator of microtubule dynamics 2 	ENST00000234195	ENSGGOT00000050923	ENSNLET00000033805	ENSPTRT00000076723	573	618	617	573	571	542	29	7	2	3	12	1	94.9211908931699	5.07880910683012	1.22591943957968	0.350262697022767	0.525394045534151	2.1015761821366	0.175131348511384	0
ENST00000234256	ENSG00000115902	SLC1A4	solute carrier family 1 member 4 	ENST00000234256	ENSGGOT00000011255	ENSNLET00000035489	ENSPTRT00000022303	532	532	532	557	499	494	5	0	0	0	4	1	98.997995991984	1.00200400801603	0	0	0	0.801603206412826	0.200400801603206	0
ENST00000234296	ENSG00000115942	ORC2	origin recognition complex subunit 2 	ENST00000234296	ENSGGOT00000060633	ENSNLET00000008859	ENSPTRT00000023708	577	577	577	577	577	569	8	1	3	3	0	0	98.6135181975737	1.38648180242635	0.173310225303293	0.519930675909879	0.519930675909879	0	0	0
ENST00000234301	ENSG00000115944	COX7A2L	cytochrome c oxidase subunit 7A2 like 	ENST00000234301	ENSGGOT00000010778	ENSNLET00000021235	ENSPTRT00000022080	114	114	114	114	114	114	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000234371	ENSG00000116014	KISS1R	KISS1 receptor 	ENST00000234371	ENSGGOT00000026136	ENSNLET00000001242	ENSPTRT00000104282	398	401	340	374	300	277	23	1	4	3	14	0	92.3333333333333	7.66666666666667	0.333333333333333	1.33333333333333	1	4.66666666666667	0	0
ENST00000234389	ENSG00000116032	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B 	ENST00000234389	ENSGGOT00000011252	ENSNLET00000038924	ENSPTRT00000018681	1043	1043	963	1014	726	674	52	7	3	15	22	3	92.8374655647383	7.16253443526171	0.964187327823691	0.413223140495868	2.06611570247934	3.03030303030303	0.413223140495868	0
ENST00000234392	ENSG00000116035	VAX2	ventral anterior homeobox 2 	ENST00000234392	ENSGGOT00000007321	ENSNLET00000013074	ENSPTRT00000022394	290	290	290	290	287	281	6	2	0	0	4	0	97.9094076655052	2.09059233449477	0.696864111498258	0	0	1.39372822299652	0	0
ENST00000234396	ENSG00000116039	ATP6V1B1	ATPase H+ transporting V1 subunit B1 	ENST00000234396	ENSGGOT00000062401	ENSNLET00000013093	ENSPTRT00000022395	513	513	513	483	461	453	8	1	0	1	6	0	98.2646420824295	1.7353579175705	0.216919739696312	0	0.216919739696312	1.30151843817787	0	0
ENST00000234453	ENSG00000116095	PLEKHA3	pleckstrin homology domain containing A3 	ENST00000234453	ENSGGOT00000023377	ENSNLET00000007829	ENSPTRT00000023512	300	300	300	300	300	300	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000234454	ENSG00000116096	SPR	sepiapterin reductase 	ENST00000234454	ENSGGOT00000005707	ENSNLET00000039778	ENSPTRT00000097457	261	261	261	261	261	249	12	2	1	2	7	0	95.4022988505747	4.59770114942529	0.766283524904215	0.383141762452107	0.766283524904215	2.68199233716475	0	0
ENST00000234590	ENSG00000074800	ENO1	enolase 1 	ENST00000234590	ENSGGOT00000010402	ENSNLET00000011768	ENSPTRT00000000247	434	434	434	434	434	433	1	0	0	0	1	0	99.7695852534562	0.230414746543772	0	0	0	0.230414746543779	0	0
ENST00000234626	ENSG00000097046	CDC7	cell division cycle 7 	ENST00000234626	ENSGGOT00000031237	ENSNLET00000013195	ENSPTRT00000099485	574	574	574	574	543	528	15	2	2	2	9	0	97.2375690607735	2.76243093922652	0.368324125230203	0.368324125230203	0.368324125230203	1.65745856353591	0	0
ENST00000234739	ENSG00000116128	BCL9	BCL9 transcription coactivator 	ENST00000234739	ENSGGOT00000009340	ENSNLET00000060043	ENSPTRT00000002273	1426	1426	1426	1426	1426	1416	10	2	1	1	3	2	99.2987377279102	0.701262272089764	0.140252454417952	0.070126227208976	0.070126227208976	0.210378681626928	0.140252454417952	0
ENST00000234816	ENSG00000116194	ANGPTL1	angiopoietin like 1 	ENST00000234816	ENSGGOT00000027079	ENSNLET00000019840	ENSPTRT00000003121	491	491	491	491	491	482	9	3	0	3	3	0	98.1670061099796	1.83299389002036	0.610997963340122	0	0.610997963340122	0.610997963340122	0	0
ENST00000234831	ENSG00000116209	TMEM59	transmembrane protein 59 	ENST00000234831	ENSGGOT00000033888	ENSNLET00000050617	ENSPTRT00000102220	323	368	324	311	301	301	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000234875	ENSG00000116251	RPL22	ribosomal protein L22 	ENST00000234875	ENSGGOT00000031482	ENSNLET00000037591	ENSPTRT00000000172	128	128	128	128	127	125	2	0	0	0	2	0	98.4251968503937	1.5748031496063	0	0	0	1.5748031496063	0	0
ENST00000234961	ENSG00000116329	OPRD1	opioid receptor delta 1 	ENST00000234961	ENSGGOT00000002170	ENSNLET00000012600	ENSPTRT00000000852	372	372	372	265	240	238	2	0	0	0	2	0	99.1666666666667	0.833333333333329	0	0	0	0.833333333333333	0	0
ENST00000235090	ENSG00000116455	WDR77	WD repeat domain 77 	ENST00000235090	ENSGGOT00000005238	ENSNLET00000053789	ENSPTRT00000002065	342	342	342	347	327	317	10	1	1	2	6	0	96.9418960244648	3.05810397553516	0.305810397553517	0.305810397553517	0.611620795107034	1.8348623853211	0	0
ENST00000235180	ENSG00000116544	DLGAP3	DLG associated protein 3 	ENST00000235180	ENSGGOT00000013393	ENSNLET00000004465	ENSPTRT00000001010	979	979	979	946	916	911	5	0	1	1	2	0	99.4541484716157	0.545851528384276	0	0.109170305676856	0.109170305676856	0.218340611353712	0	0
ENST00000235307	ENSG00000116667	C1orf21	chromosome 1 open reading frame 21 	ENST00000235307	ENSGGOT00000054479	ENSNLET00000038267	ENSPTRT00000087050	121	121	121	121	121	121	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000235332	ENSG00000116691	MIIP	migration and invasion inhibitory protein 	ENST00000235332	ENSGGOT00000000198	ENSNLET00000012495	ENSPTRT00000000355	388	388	388	426	388	362	26	5	4	3	11	0	93.298969072165	6.70103092783505	1.28865979381443	1.03092783505155	0.77319587628866	2.83505154639175	0	0
ENST00000235345	ENSG00000116704	SLC35D1	solute carrier family 35 member D1 	ENST00000235345	ENSGGOT00000009077	ENSNLET00000019522	ENSPTRT00000080954	355	355	355	326	326	324	2	0	0	0	2	0	99.3865030674847	0.613496932515332	0	0	0	0.613496932515337	0	0
ENST00000235521	ENSG00000116874	WARS2	tryptophanyl tRNA synthetase 2%2C mitochondrial 	ENST00000235521	ENSGGOT00000023144	ENSNLET00000006820	ENSPTRT00000002179	360	360	360	360	360	350	10	0	0	1	9	0	97.2222222222222	2.77777777777777	0	0	0.277777777777778	2.5	0	0
ENST00000235628	ENSG00000116981	NT5C1A	5'-nucleotidase%2C cytosolic IA 	ENST00000235628	ENSGGOT00000058888	ENSNLET00000015263	ENSPTRT00000001110	368	371	359	328	283	280	3	1	0	0	2	0	98.9399293286219	1.06007067137809	0.353356890459364	0	0	0.706713780918728	0	0
ENST00000236040	ENSG00000117385	P3H1	prolyl 3-hydroxylase 1 	ENST00000236040	ENSGGOT00000042636	ENSNLET00000040227	ENSPTRT00000066932	804	797	646	621	418	411	7	1	1	1	2	2	98.3253588516746	1.67464114832536	0.239234449760766	0.239234449760766	0.239234449760766	0.478468899521531	0.478468899521531	0
ENST00000236137	ENSG00000117479	SLC19A2	solute carrier family 19 member 2 	ENST00000236137	ENSGGOT00000024783	ENSNLET00000019119	ENSPTRT00000003008	497	497	497	497	497	494	3	0	0	1	2	0	99.3963782696177	0.603621730382301	0	0	0.201207243460765	0.402414486921529	0	0
ENST00000236192	ENSG00000117533	VAMP4	vesicle associated membrane protein 4 	ENST00000236192	ENSGGOT00000025530	ENSNLET00000019379	ENSPTRT00000003047	141	141	141	141	141	141	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000236273	ENSG00000117614	SYF2	SYF2 pre-mRNA splicing factor 	ENST00000236273	ENSGGOT00000057971	ENSNLET00000057875	ENSPTRT00000000696	243	243	243	243	243	241	2	1	0	0	1	0	99.1769547325103	0.823045267489718	0.411522633744856	0	0	0.411522633744856	0	0
ENST00000236495	ENSG00000117834	SLC5A9	solute carrier family 5 member 9 	ENST00000236495	ENSGGOT00000066098	ENSNLET00000020843	ENSPTRT00000085568	706	706	706	706	701	682	19	3	0	5	10	1	97.2895863052782	2.71041369472182	0.427960057061341	0	0.713266761768902	1.4265335235378	0.14265335235378	0
ENST00000236709	ENSG00000118017	A4GNT	alpha-1%2C4-N-acetylglucosaminyltransferase 	ENST00000236709	ENSGGOT00000004582	ENSNLET00000005271	ENSPTRT00000028824	340	340	340	327	327	310	17	3	2	2	9	0	94.8012232415902	5.19877675840979	0.91743119266055	0.611620795107034	0.611620795107034	2.75229357798165	0	0
ENST00000236925	ENSG00000118200	CAMSAP2	calmodulin regulated spectrin associated protein family member 2 	ENST00000236925	ENSGGOT00000062961	ENSNLET00000023065	ENSPTRT00000110987	1489	1489	1489	1496	1464	1449	15	2	6	1	4	2	98.9754098360656	1.02459016393442	0.136612021857924	0.40983606557377	0.068306010928962	0.273224043715847	0.136612021857924	0
ENST00000236957	ENSG00000114942	EEF1B2	eukaryotic translation elongation factor 1 beta 2 	ENST00000236957	ENSGGOT00000007030	ENSNLET00000009059	ENSPTRT00000081299	225	225	225	225	225	222	3	0	0	0	3	0	98.6666666666667	1.33333333333333	0	0	0	1.33333333333333	0	0
ENST00000236959	ENSG00000138363	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase 	ENST00000236959	ENSGGOT00000007953	ENSNLET00000009227	ENSPTRT00000023902	592	592	592	592	592	584	8	0	1	0	7	0	98.6486486486487	1.35135135135135	0	0.168918918918919	0	1.18243243243243	0	0
ENST00000236980	ENSG00000118246	FASTKD2	FAST kinase domains 2 	ENST00000236980	ENSGGOT00000002077	ENSNLET00000009088	ENSPTRT00000023833	710	710	710	709	708	670	38	1	3	3	29	2	94.6327683615819	5.36723163841808	0.141242937853107	0.423728813559322	0.423728813559322	4.09604519774011	0.282485875706215	0
ENST00000237163	ENSG00000083097	DOPEY1	DOP1 leucine zipper like protein A 	ENST00000237163	ENSGGOT00000000455	ENSNLET00000037886	ENSPTRT00000033987	2476	2476	2476	2457	2444	2410	34	2	4	3	23	1	98.6088379705401	1.39116202945991	0.081833060556465	0.16366612111293	0.122749590834697	0.941080196399345	0.040916530278232	0
ENST00000237172	ENSG00000118407	FILIP1	filamin A interacting protein 1 	ENST00000237172	ENSGGOT00000017227	ENSNLET00000006361	ENSPTRT00000033951	1213	1213	1177	1213	1164	1150	14	2	2	3	7	0	98.7972508591065	1.20274914089347	0.171821305841924	0.171821305841924	0.257731958762887	0.601374570446735	0	0
ENST00000237201	ENSG00000118434	SPACA1	sperm acrosome associated 1 	ENST00000237201	ENSGGOT00000028403	ENSNLET00000016652	ENSPTRT00000034031	294	294	294	294	294	269	25	1	4	2	14	0	91.4965986394558	8.50340136054422	0.340136054421769	1.36054421768707	0.680272108843537	4.76190476190476	0	0
ENST00000237247	ENSG00000118473	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1 	ENST00000237247	ENSGGOT00000028094	ENSNLET00000019439	ENSPTRT00000059123	859	859	858	768	721	704	17	0	0	1	15	1	97.6421636615811	2.35783633841886	0	0	0.13869625520111	2.08044382801664	0.13869625520111	0
ENST00000237275	ENSG00000118491	ZC2HC1B	zinc finger C2HC-type containing 1B 	ENST00000237275	ENSGGOT00000028099	ENSNLET00000019304	ENSPTRT00000056770	222	222	222	222	222	206	16	2	0	0	13	1	92.7927927927928	7.2072072072072	0.900900900900901	0	0	5.85585585585586	0.450450450450451	0
ENST00000237281	ENSG00000118496	FBXO30	F-box protein 30 	ENST00000237281	ENSGGOT00000005955	ENSNLET00000019378	ENSPTRT00000034492	745	903	745	745	745	736	9	0	1	0	6	1	98.7919463087248	1.20805369127517	0	0.134228187919463	0	0.805369127516778	0.134228187919463	0
ENST00000237283	ENSG00000189007	ADAT2	adenosine deaminase tRNA specific 2 	ENST00000237283	ENSGGOT00000016232	ENSNLET00000019232	ENSPTRT00000034469	191	191	191	191	191	187	4	1	0	0	3	0	97.9057591623037	2.09424083769633	0.523560209424084	0	0	1.57068062827225	0	0
ENST00000237380	ENSG00000118579	MED28	mediator complex subunit 28 	ENST00000237380	ENSGGOT00000001121	ENSNLET00000021171	ENSPTRT00000092243	178	178	178	223	178	178	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000237530	ENSG00000118705	RPN2	ribophorin II 	ENST00000237530	ENSGGOT00000063916	ENSNLET00000007972	ENSPTRT00000062026	631	658	658	631	625	618	7	1	1	2	2	0	98.88	1.12	0.16	0.16	0.32	0.32	0	0
ENST00000237536	ENSG00000149639	SOGA1	suppressor of glucose%2C autophagy associated 1 	ENST00000237536	ENSGGOT00000066542	ENSNLET00000007834	ENSPTRT00000099279	1661	1657	1608	1643	1502	1478	24	1	1	6	15	1	98.4021304926764	1.59786950732357	0.066577896138482	0.066577896138482	0.399467376830892	0.99866844207723	0.066577896138482	0
ENST00000237596	ENSG00000118762	PKD2	polycystin 2%2C transient receptor potential cation channel 	ENST00000237596	ENSGGOT00000003342	ENSNLET00000012272	ENSPTRT00000030270	968	968	968	921	921	904	17	1	2	1	12	1	98.1541802388708	1.84581976112921	0.1085776330076	0.217155266015201	0.1085776330076	1.30293159609121	0.1085776330076	0
ENST00000237642	ENSG00000118804	STBD1	starch binding domain 1 	ENST00000237642	ENSGGOT00000010817	ENSNLET00000010360	ENSPTRT00000030131	358	358	358	358	358	345	13	3	3	3	2	1	96.3687150837989	3.63128491620111	0.837988826815642	0.837988826815642	0.837988826815642	0.558659217877095	0.279329608938547	0
ENST00000237837	ENSG00000118972	FGF23	fibroblast growth factor 23 	ENST00000237837	ENSGGOT00000002983	ENSNLET00000003935	ENSPTRT00000008423	251	251	251	251	251	240	11	1	2	1	5	0	95.6175298804781	4.38247011952191	0.398406374501992	0.796812749003984	0.398406374501992	1.99203187250996	0	0
ENST00000237853	ENSG00000118985	ELL2	elongation factor for RNA polymerase II 2 	ENST00000237853	ENSGGOT00000000219	ENSNLET00000018110	ENSPTRT00000031666	640	640	580	640	572	560	12	1	0	3	7	0	97.9020979020979	2.09790209790209	0.174825174825175	0	0.524475524475524	1.22377622377622	0	0
ENST00000237889	ENSG00000119013	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3 	ENST00000237889	ENSGGOT00000025368	ENSNLET00000008865	ENSPTRT00000023711	98	98	98	98	98	94	4	0	0	0	4	0	95.9183673469388	4.08163265306122	0	0	0	4.08163265306122	0	0
ENST00000238018	ENSG00000119125	GDA	guanine deaminase 	ENST00000238018	ENSGGOT00000008582	ENSNLET00000034329	ENSPTRT00000105302	471	504	471	471	454	446	8	0	1	0	6	0	98.2378854625551	1.76211453744493	0	0.220264317180617	0	1.3215859030837	0	0
ENST00000238044	ENSG00000119147	C2orf40	ECRG4 augurin precursor 	ENST00000238044	ENSGGOT00000011052	ENSNLET00000013645	ENSPTRT00000022861	148	148	148	148	148	144	4	0	1	1	2	0	97.2972972972973	2.70270270270271	0	0.675675675675676	0.675675675675676	1.35135135135135	0	0
ENST00000238081	ENSG00000134308	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta 	ENST00000238081	ENSGGOT00000001577	ENSNLET00000017272	ENSPTRT00000021699	245	253	248	253	245	245	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000238112	ENSG00000119203	CPSF3	cleavage and polyadenylation specific factor 3 	ENST00000238112	ENSGGOT00000001770	ENSNLET00000017089	ENSPTRT00000021694	684	684	699	699	682	680	2	1	0	0	1	0	99.7067448680352	0.293255131964813	0.146627565982405	0	0	0.146627565982405	0	0
ENST00000238146	ENSG00000111364	DDX55	DEAD-box helicase 55 	ENST00000238146	ENSGGOT00000027321	ENSNLET00000043076	ENSPTRT00000010293	600	600	600	599	599	592	7	0	2	2	2	1	98.8313856427379	1.1686143572621	0	0.333889816360601	0.333889816360601	0.333889816360601	0.166944908180301	0
ENST00000238156	ENSG00000119242	CCDC92	coiled-coil domain containing 92 	ENST00000238156	ENSGGOT00000022319	ENSNLET00000002941	ENSPTRT00000010312	331	331	331	331	331	329	2	1	0	0	0	1	99.3957703927492	0.604229607250758	0.302114803625378	0	0	0	0.302114803625378	0
ENST00000238256	ENSG00000119321	FKBP15	FKBP prolyl isomerase 15 	ENST00000238256	ENSGGOT00000065979	ENSNLET00000021183	ENSPTRT00000085077	1219	1265	1265	1267	1129	1096	33	7	1	4	20	1	97.0770593445527	2.92294065544729	0.620017714791851	0.088573959255979	0.354295837023915	1.77147918511957	0.088573959255979	0
ENST00000238497	ENSG00000119541	VPS4B	vacuolar protein sorting 4 homolog B 	ENST00000238497	ENSGGOT00000006757	ENSNLET00000039729	ENSPTRT00000100758	444	446	444	446	435	432	3	0	0	1	2	0	99.3103448275862	0.689655172413794	0	0	0.229885057471264	0.459770114942529	0	0
ENST00000238558	ENSG00000133937	GSC	goosecoid homeobox 	ENST00000238558	ENSGGOT00000007845	ENSNLET00000022071	ENSPTRT00000012313	257	257	257	257	257	255	2	1	0	0	1	0	99.2217898832685	0.778210116731515	0.389105058365759	0	0	0.389105058365759	0	0
ENST00000238561	ENSG00000063761	ADCK1	aarF domain containing kinase 1 	ENST00000238561	ENSGGOT00000009975	ENSNLET00000021409	ENSPTRT00000012084	523	523	523	523	523	515	8	2	0	1	5	0	98.4703632887189	1.52963671128107	0.382409177820268	0	0.191204588910134	0.956022944550669	0	0
ENST00000238616	ENSG00000119638	NEK9	NIMA related kinase 9 	ENST00000238616	ENSGGOT00000025321	ENSNLET00000020953	ENSPTRT00000012019	979	979	979	893	854	850	4	1	1	0	2	0	99.5316159250585	0.468384074941454	0.117096018735363	0.117096018735363	0	0.234192037470726	0	0
ENST00000238628	ENSG00000119650	IFT43	intraflagellar transport 43 	ENST00000238628	ENSGGOT00000052705	ENSNLET00000021127	ENSPTRT00000012044	213	213	213	213	213	206	7	1	0	2	4	0	96.7136150234742	3.28638497652582	0.469483568075117	0	0.938967136150235	1.87793427230047	0	0
ENST00000238667	ENSG00000119686	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2 	ENST00000238667	ENSGGOT00000022621	ENSNLET00000050220	ENSPTRT00000106598	526	525	520	526	519	508	11	1	2	2	6	0	97.8805394990366	2.11946050096338	0.192678227360308	0.385356454720617	0.385356454720617	1.15606936416185	0	0
ENST00000238682	ENSG00000119699	TGFB3	transforming growth factor beta 3 	ENST00000238682	ENSGGOT00000001489	ENSNLET00000021122	ENSPTRT00000012041	412	412	412	412	412	412	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000238714	ENSG00000115421	PAPOLG	poly(A) polymerase gamma 	ENST00000238714	ENSGGOT00000006114	ENSNLET00000012143	ENSPTRT00000022246	736	736	736	429	428	427	1	0	0	0	1	0	99.7663551401869	0.233644859813083	0	0	0	0.233644859813084	0	0
ENST00000238721	ENSG00000115129	TP53I3	tumor protein p53 inducible protein 3 	ENST00000238721	ENSGGOT00000060098	ENSNLET00000001035	ENSPTRT00000101104	332	332	332	346	332	326	6	1	1	0	4	0	98.1927710843373	1.80722891566265	0.301204819277108	0.301204819277108	0	1.20481927710843	0	0
ENST00000238738	ENSG00000119729	RHOQ	ras homolog family member Q 	ENST00000238738	ENSGGOT00000027564	ENSNLET00000059074	ENSPTRT00000102989	205	205	200	190	159	159	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000238788	ENSG00000119777	TMEM214	transmembrane protein 214 	ENST00000238788	ENSGGOT00000016979	ENSNLET00000003421	ENSPTRT00000021877	689	689	689	638	635	618	17	1	4	1	10	0	97.3228346456693	2.67716535433071	0.15748031496063	0.62992125984252	0.15748031496063	1.5748031496063	0	0
ENST00000238789	ENSG00000119778	ATAD2B	ATPase family AAA domain containing 2B 	ENST00000238789	ENSGGOT00000006056	ENSNLET00000000920	ENSPTRT00000021795	1458	1458	1458	1458	1458	1444	14	1	3	3	6	1	99.039780521262	0.960219478737997	0.068587105624143	0.205761316872428	0.205761316872428	0.411522633744856	0.068587105624143	0
ENST00000238823	ENSG00000119812	FAM98A	family with sequence similarity 98 member A 	ENST00000238823	ENSGGOT00000024297	ENSNLET00000020423	ENSPTRT00000022009	518	518	518	517	517	513	4	1	2	1	0	0	99.2263056092843	0.773694390715662	0.193423597678917	0.386847195357834	0.193423597678917	0	0	0
ENST00000238831	ENSG00000119820	YIPF4	Yip1 domain family member 4 	ENST00000238831	ENSGGOT00000012216	ENSNLET00000058724	ENSPTRT00000021992	244	244	244	244	244	243	1	0	0	0	1	0	99.5901639344262	0.409836065573771	0	0	0	0.40983606557377	0	0
ENST00000238855	ENSG00000119844	AFTPH	aftiphilin 	ENST00000238855	ENSGGOT00000008483	ENSNLET00000012672	ENSPTRT00000022301	936	937	937	935	935	911	24	4	6	2	12	0	97.4331550802139	2.56684491978609	0.427807486631016	0.641711229946524	0.213903743315508	1.28342245989305	0	0
ENST00000238875	ENSG00000119862	LGALSL	galectin like 	ENST00000238875	ENSGGOT00000006412	ENSNLET00000038205	ENSPTRT00000092038	172	172	172	160	160	160	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000238892	ENSG00000119878	CRIPT	CXXC repeat containing interactor of PDZ3 domain 	ENST00000238892	ENSGGOT00000015114	ENSNLET00000021583	ENSPTRT00000022132	101	101	101	101	101	101	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000238936	ENSG00000138111	MFSD13A	major facilitator superfamily domain containing 13A 	ENST00000238936	ENSGGOT00000011275	ENSNLET00000019319	ENSPTRT00000005513	517	517	517	517	517	503	14	0	1	2	11	0	97.2920696324952	2.70793036750483	0	0.193423597678917	0.386847195357834	2.12765957446808	0	0
ENST00000238994	ENSG00000119938	PPP1R3C	protein phosphatase 1 regulatory subunit 3C 	ENST00000238994	ENSGGOT00000042298	ENSNLET00000015871	ENSPTRT00000090488	317	317	317	317	317	313	4	1	0	1	2	0	98.7381703470031	1.26182965299685	0.315457413249211	0	0.315457413249211	0.630914826498423	0	0
ENST00000239032	ENSG00000119973	PRLHR	prolactin releasing hormone receptor 	ENST00000239032	ENSGGOT00000000677	ENSNLET00000021188	ENSPTRT00000005686	370	370	370	370	359	354	5	2	1	0	2	0	98.6072423398329	1.39275766016713	0.557103064066852	0.278551532033426	0	0.557103064066852	0	0
ENST00000239223	ENSG00000120129	DUSP1	dual specificity phosphatase 1 	ENST00000239223	ENSGGOT00000007164	ENSNLET00000037621	ENSPTRT00000032412	367	367	367	326	296	287	9	0	0	0	9	0	96.9594594594595	3.04054054054055	0	0	0	3.04054054054054	0	0
ENST00000239231	ENSG00000120137	PANK3	pantothenate kinase 3 	ENST00000239231	ENSGGOT00000004970	ENSNLET00000006248	ENSPTRT00000032369	370	370	370	370	370	370	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000239243	ENSG00000120149	MSX2	msh homeobox 2 	ENST00000239243	ENSGGOT00000031255	ENSNLET00000000674	ENSPTRT00000032436	267	267	267	267	267	265	2	0	1	0	1	0	99.250936329588	0.749063670411985	0	0.374531835205993	0	0.374531835205993	0	0
ENST00000239367	ENSG00000120256	LRP11	LDL receptor related protein 11 	ENST00000239367	ENSGGOT00000047600	ENSNLET00000041872	ENSPTRT00000034525	500	500	496	295	295	290	5	0	0	2	3	0	98.3050847457627	1.69491525423729	0	0	0.677966101694915	1.01694915254237	0	0
ENST00000239374	ENSG00000120262	CCDC170	coiled-coil domain containing 170 	ENST00000239374	ENSGGOT00000004521	ENSNLET00000019627	ENSPTRT00000034545	715	715	715	715	715	686	29	4	4	6	13	0	95.944055944056	4.05594405594405	0.559440559440559	0.559440559440559	0.839160839160839	1.81818181818182	0	0
ENST00000239440	ENSG00000120318	ARAP3	ArfGAP with RhoGAP domain%2C ankyrin repeat and PH domain 3 	ENST00000239440	ENSGGOT00000042719	ENSNLET00000012356	ENSPTRT00000032104	1544	1546	1548	1531	1490	1462	28	6	0	6	16	0	98.1208053691275	1.87919463087249	0.402684563758389	0	0.402684563758389	1.0738255033557	0	0
ENST00000239461	ENSG00000116132	PRRX1	paired related homeobox 1 	ENST00000239461	ENSGGOT00000010234	ENSNLET00000019290	ENSPTRT00000003024	245	245	245	245	245	244	1	0	0	1	0	0	99.5918367346939	0.408163265306129	0	0	0.408163265306122	0	0	0
ENST00000239587	ENSG00000120440	TTLL2	tubulin tyrosine ligase like 2 	ENST00000239587	ENSGGOT00000022276	ENSNLET00000058330	ENSPTRT00000034740	592	591	592	569	551	519	32	2	2	7	17	1	94.1923774954628	5.80762250453721	0.362976406533575	0.362976406533575	1.27041742286751	3.08529945553539	0.181488203266788	0
ENST00000239666	ENSG00000120509	PDZD11	PDZ domain containing 11 	ENST00000239666	ENSGGOT00000006657	ENSNLET00000037756	ENSPTRT00000040913	140	140	140	140	140	140	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000239690	ENSG00000120526	NUDCD1	NudC domain containing 1 	ENST00000239690	ENSGGOT00000016587	ENSNLET00000038748	ENSPTRT00000037943	583	583	569	583	543	530	13	1	1	4	6	1	97.6058931860037	2.39410681399632	0.184162062615101	0.184162062615101	0.736648250460405	1.10497237569061	0.184162062615101	0
